Metric,Value
ROUGE-1 Precision,0.7230808080808081
ROUGE-1 Recall,0.9590476190476191
ROUGE-1 F1,0.8226801801801802
ROUGE-2 Precision,0.5858867116640706
ROUGE-2 Recall,0.7856043956043954
ROUGE-2 F1,0.6693848786872043
ROUGE-L Precision,0.7230808080808081
ROUGE-L Recall,0.9590476190476191
ROUGE-L F1,0.8226801801801802
BERTScore Precision,0.9623981714248657
BERTScore Recall,0.9816973805427551
BERTScore F1,0.9719294309616089
Avg Length Difference,5.2
Avg Compression Ratio,1.3420551378446115
